year,dataType,population
1995,BbsConversion,240000
1996,BbsConversion,235896
1997,BbsConversion,227088
1998,BbsConversion,219696
1999,BbsConversion,215304
2000,BbsConversion,210936
2001,BbsConversion,204072
2002,BbsConversion,196776
2003,BbsConversion,191736
2004,BbsConversion,189552
2005,BbsConversion,188952
2006,BbsConversion,189192
2007,BbsConversion,190632
2008,BbsConversion,194640
2009,BbsConversion,197280
2010,BbsConversion,196056
2011,BbsConversion,191904
2012,BbsConversion,182328
2013,BbsConversion,168408
2014,BbsConversion,154056
2015,BbsConversion,143304
2016,BbsConversion,137448
2017,BbsConversion,134616
2018,BbsConversion,132120
2019,BbsConversion,129528
2020,BbsConversion,128112
2021,BbsConversion,127560
