year,dataType,population
1995,UkPopulation,57930364
1996,UkPopulation,58078586
1997,UkPopulation,58250198
1998,UkPopulation,58438321
1999,UkPopulation,58635202
2000,UkPopulation,58850043
2001,UkPopulation,59092016
2002,UkPopulation,59355690
2003,UkPopulation,59649799
2004,UkPopulation,59995851
2005,UkPopulation,60383741
2006,UkPopulation,60803700
2007,UkPopulation,61260676
2008,UkPopulation,61742151
2009,UkPopulation,62243378
2010,UkPopulation,62760039
2011,UkPopulation,63286362
2012,UkPopulation,63808727
2013,UkPopulation,64302297
2014,UkPopulation,64773504
2015,UkPopulation,65224364
2016,UkPopulation,65655203
2017,UkPopulation,66064804
2018,UkPopulation,66432993
2019,UkPopulation,66778659
2020,UkPopulation,67059474
2021,UkPopulation,67281039
