year,dataType,population
1995,BbsConversion,240000
1996,BbsConversion,235896
1997,BbsConversion,227088
1998,BbsConversion,219696
1999,BbsConversion,215304
2000,BbsConversion,210936
2001,BbsConversion,204072
2002,BbsConversion,196776
2003,BbsConversion,191736
2004,BbsConversion,189552
2005,BbsConversion,188952
2006,BbsConversion,189192
2007,BbsConversion,190632
2008,BbsConversion,194640
2009,BbsConversion,197280
2010,BbsConversion,196056
2011,BbsConversion,191904
2012,BbsConversion,182328
2013,BbsConversion,168408
2014,BbsConversion,154056
2015,BbsConversion,143304
2016,BbsConversion,137448
2017,BbsConversion,134616
2018,BbsConversion,132120
2019,BbsConversion,129528
2020,BbsConversion,128112
2021,BbsConversion,127560
1995,DefraConversion,613531
1996,DefraConversion,603040
1997,DefraConversion,580523
1998,DefraConversion,561627
1999,DefraConversion,550399
2000,DefraConversion,539233
2001,DefraConversion,521686
2002,DefraConversion,503034
2003,DefraConversion,490150
2004,DefraConversion,484567
2005,DefraConversion,483033
2006,DefraConversion,483647
2007,DefraConversion,487328
2008,DefraConversion,497574
2009,DefraConversion,504323
2010,DefraConversion,501194
2011,DefraConversion,490580
2012,DefraConversion,466100
2013,DefraConversion,430515
2014,DefraConversion,393826
2015,DefraConversion,372518
2016,DefraConversion,368407
2017,DefraConversion,368438
2018,DefraConversion,362368
2019,DefraConversion,354869
2020,DefraConversion,354100
2021,DefraConversion,354935
1995,UkPopulation,57930364
1996,UkPopulation,58078586
1997,UkPopulation,58250198
1998,UkPopulation,58438321
1999,UkPopulation,58635202
2000,UkPopulation,58850043
2001,UkPopulation,59092016
2002,UkPopulation,59355690
2003,UkPopulation,59649799
2004,UkPopulation,59995851
2005,UkPopulation,60383741
2006,UkPopulation,60803700
2007,UkPopulation,61260676
2008,UkPopulation,61742151
2009,UkPopulation,62243378
2010,UkPopulation,62760039
2011,UkPopulation,63286362
2012,UkPopulation,63808727
2013,UkPopulation,64302297
2014,UkPopulation,64773504
2015,UkPopulation,65224364
2016,UkPopulation,65655203
2017,UkPopulation,66064804
2018,UkPopulation,66432993
2019,UkPopulation,66778659
2020,UkPopulation,67059474
2021,UkPopulation,67281039
